soc2010,f1,f2,clust,soc2010_occs,cluster
111011,1.2284322,-.37150237,1,Chief Executives,One
111021,.6281755,-.11208668,1,General and Operations Managers,One
112011,.44845489,-.70531195,1,Advertising and Promotions Managers,One
112021,.75334281,-.23273525,1,Marketing Managers,One
112022,.82042825,-.67125988,1,Sales Managers,One
112031,.52846521,-.97567225,1,Public Relations and Fundraising Managers,One
113011,.32054168,-.84825128,1,Administrative Services Managers,One
113021,2.2874556,.41663107,2,Computer and Information Systems Managers,Two
113031,.77866966,-1.4534991,1,Financial Managers,One
113051,1.0377858,.90121734,2,Industrial Production Managers,Two
113061,.83625728,.068784744,1,Purchasing Managers,One
113071,.58767611,-.30760318,1,"Transportation, Storage, and Distribution Managers",One
113111,.68676978,-1.6279794,1,Compensation and Benefits Managers,One
113121,.71436369,-.86097443,1,Human Resources Managers,One
113131,.56332242,-.7289024,1,Training and Development Managers,One
119013,.30663058,.47491419,3,"Farmers, Ranchers, and Other Agricultural Managers",Three
119021,1.2443594,1.4148214,2,Construction Managers,Two
119031,-.20172206,-.65934479,1,"Education Administrators, Preschool and Childcare Center/Program",One
119032,1.1189424,-1.2638153,1,"Education Administrators, Elementary and Secondary School",One
119033,.73972821,-1.428012,1,"Education Administrators, Postsecondary",One
119039,.65703237,-.43875983,1,"Education Administrators, All Other",One
119041,1.7487212,1.3639001,2,Architectural and Engineering Managers,Two
119051,-.11381146,.097569674,3,Food Service Managers,Three
119061,-.16922265,-.66869646,1,Funeral Service Managers,One
119071,.43910515,-.70775664,1,Gaming Managers,One
119081,.72392583,-.43751854,1,Lodging Managers,One
119111,1.4621975,-1.1719954,1,Medical and Health Services Managers,One
119121,1.4207138,-.17018884,1,Natural Sciences Managers,One
119131,.4722572,-.29349372,1,Postmasters and Mail Superintendents,One
119141,.30815917,-.96273243,1,"Property, Real Estate, and Community Association Managers",One
119151,.77027911,-.73614502,1,Social and Community Service Managers,One
119161,1.1053059,.00097702839,1,Emergency Management Directors,One
119199,.88423681,-.42500171,1,"Managers, All Other",One
131011,-.28281042,-.82082534,1,"Agents and Business Managers of Artists, Performers, and Athletes",One
131021,.40921614,-.44209459,1,"Buyers and Purchasing Agents, Farm Products",One
131022,.36706507,-.74652648,1,"Wholesale and Retail Buyers, Except Farm Products",One
131023,.64806068,-.17262416,1,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",One
131031,.11981832,-1.4158549,1,"Claims Adjusters, Examiners, and Investigators",One
131032,.28231278,-1.1080661,1,"Insurance Appraisers, Auto Damage",One
131041,.56011111,-.93071747,1,Compliance Officers,One
131051,1.4903482,.20292263,1,Cost Estimators,One
131071,.038892943,-1.2419399,1,Human Resources Specialists,One
131074,-1.2218871,-.26057339,3,Farm Labor Contractors,Three
131075,.36114272,-1.2164559,1,Labor Relations Specialists,One
131081,1.5301651,.41592145,2,Logisticians,Two
131111,1.3686101,-1.0348542,1,Management Analysts,One
131121,.58016783,-.42766413,1,"Meeting, Convention, and Event Planners",One
131131,.18398628,-1.0591292,1,Fundraisers,One
131141,.67083931,-1.1247804,1,"Compensation, Benefits, and Job Analysis Specialists",One
131151,.81172425,-1.1004428,1,Training and Development Specialists,One
131161,1.3077955,-1.3350457,1,Market Research Analysts and Marketing Specialists,One
131199,.92303693,-.024769032,1,"Business Operations Specialists, All Other",One
132011,.95361763,-1.6764936,1,Accountants and Auditors,One
132021,.39565995,-1.5239141,1,Appraisers and Assessors of Real Estate,One
132031,.82981437,-1.5811908,1,Budget Analysts,One
132041,.23371823,-1.2371812,1,Credit Analysts,One
132051,1.1835544,-1.8127645,1,Financial Analysts,One
132052,.88166296,-1.6374063,1,Personal Financial Advisors,One
132053,.51143217,-1.7595522,1,Insurance Underwriters,One
132061,.92236781,-1.6665061,1,Financial Examiners,One
132071,-.01790159,-1.0405941,1,Credit Counselors,One
132072,.087240346,-1.2715777,1,Loan Officers,One
132081,.42905575,-1.6102762,1,"Tax Examiners and Collectors, and Revenue Agents",One
132082,.31205073,-1.4852992,1,Tax Preparers,One
132099,1.0533385,-1.5097381,1,"Financial Specialists, All Other",One
151111,3.0840206,1.6348079,2,Computer and Information Research Scientists,Two
151121,2.4542642,1.3217705,2,Computer Systems Analysts,Two
151122,1.9943373,.17937918,2,Information Security Analysts,Two
151131,2.2664535,.29014421,2,Computer Programmers,Two
151132,3.0816321,2.2257197,2,"Software Developers, Applications",Two
151133,1.5171477,.22620741,1,"Software Developers, Systems Software",One
151134,2.206733,.74007046,2,Web Developers,Two
151141,2.1256227,.016752115,1,Database Administrators,One
151142,2.4731026,.76291561,2,Network and Computer Systems Administrators,Two
151143,2.0538855,1.980149,2,Computer Network Architects,Two
151151,1.3524318,-.073615685,1,Computer User Support Specialists,One
151152,1.6536934,.51359892,2,Computer Network Support Specialists,Two
151199,1.9142872,.19351193,2,"Computer Occupations, All Other",Two
152011,2.1745894,-2.0169375,1,Actuaries,One
152021,1.8283129,-.66121042,1,Mathematicians,One
152031,2.4487984,-.48553234,1,Operations Research Analysts,One
152041,1.8082362,-1.491991,1,Statisticians,One
152091,,,.,Mathematical Technicians,
171011,1.7488041,2.7528944,2,"Architects, Except Landscape and Naval",Two
171012,1.3812511,2.1266563,2,Landscape Architects,Two
171021,.8038252,-.27769864,1,Cartographers and Photogrammetrists,One
171022,1.9276688,.70733666,2,Surveyors,Two
172011,3.2034295,3.3109043,2,Aerospace Engineers,Two
172021,2.4845974,3.6615622,2,Agricultural Engineers,Two
172031,3.335062,3.8599122,2,Biomedical Engineers,Two
172041,2.8078969,3.4385638,2,Chemical Engineers,Two
172051,2.2558663,3.26528,2,Civil Engineers,Two
172061,2.8712816,2.9759769,2,Computer Hardware Engineers,Two
172071,2.0378139,2.4268675,2,Electrical Engineers,Two
172072,2.4904096,2.9695268,2,"Electronics Engineers, Except Computer",Two
172081,2.2453282,2.7239897,2,Environmental Engineers,Two
172111,1.8390254,2.2689798,2,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Two
172112,1.8567243,2.2692249,2,Industrial Engineers,Two
172121,2.0063913,3.8779509,2,Marine Engineers and Naval Architects,Two
172131,2.2495778,2.3445692,2,Materials Engineers,Two
172141,2.6624136,3.8204598,2,Mechanical Engineers,Two
172151,2.4388165,3.4222145,2,"Mining and Geological Engineers, Including Mining Safety Engineers",Two
172161,2.6592605,2.564188,2,Nuclear Engineers,Two
172171,1.8546546,1.4738816,2,Petroleum Engineers,Two
172199,2.2299936,2.9318483,2,"Engineers, All Other",Two
173011,1.1564169,2.276866,2,Architectural and Civil Drafters,Two
173012,.93497252,2.3060219,2,Electrical and Electronics Drafters,Two
173013,1.3140769,3.4438276,2,Mechanical Drafters,Two
173021,1.6550317,2.5232067,2,Aerospace Engineering and Operations Technicians,Two
173022,1.3110596,1.5349262,2,Civil Engineering Technicians,Two
173023,1.3070854,1.9797825,2,Electrical and Electronics Engineering Technicians,Two
173024,1.0914432,1.6995888,2,Electro-Mechanical Technicians,Two
173025,.62426311,1.3669903,2,Environmental Engineering Technicians,Two
173026,1.5137436,3.474324,2,Industrial Engineering Technicians,Two
173027,1.0029031,1.8493564,2,Mechanical Engineering Technicians,Two
173029,1.3775995,2.346154,2,"Engineering Technicians, Except Drafters, All Other",Two
173031,.84182924,.38563851,1,Surveying and Mapping Technicians,One
191011,1.6316082,-.83229172,1,Animal Scientists,One
191012,1.0644374,.2062021,1,Food Scientists and Technologists,One
191013,1.694924,-.84838289,1,Soil and Plant Scientists,One
191021,2.2857323,.31056601,2,Biochemists and Biophysicists,Two
191022,1.5577525,-.89268202,1,Microbiologists,One
191023,.74264884,-1.0522362,1,Zoologists and Wildlife Biologists,One
191029,1.6226928,-.88170779,1,"Biological Scientists, All Other",One
191031,.70054108,.27752548,1,Conservation Scientists,One
191032,1.0454752,.51154405,2,Foresters,Two
191041,1.6530654,-2.1603303,1,Epidemiologists,One
191042,1.6831356,-1.032344,1,"Medical Scientists, Except Epidemiologists",One
192011,2.4980855,-.33179897,1,Astronomers,One
192012,2.7957411,1.9809662,2,Physicists,Two
192021,1.3867668,-1.2581706,1,Atmospheric and Space Scientists,One
192031,1.3177984,-.19040231,1,Chemists,One
192032,1.9860001,1.2553104,2,Materials Scientists,Two
192041,1.302912,-.15000136,1,"Environmental Scientists and Specialists, Including Health",One
192042,1.6614931,-.56417793,1,"Geoscientists, Except Hydrologists and Geographers",One
192043,1.6973609,1.0242935,2,Hydrologists,Two
192099,2.1426222,.038035203,1,"Physical Scientists, All Other",One
193011,1.5936019,-2.0723829,1,Economists,One
193022,1.3792691,-1.6828656,1,Survey Researchers,One
193031,.39652592,-1.5354389,1,"Clinical, Counseling, and School Psychologists",One
193032,1.3255283,-1.0479591,1,Industrial-Organizational Psychologists,One
193039,1.2039131,-1.7374939,1,"Psychologists, All Other",One
193041,1.1333007,-2.1943243,1,Sociologists,One
193051,1.177103,-.68218666,1,Urban and Regional Planners,One
193091,1.301455,-1.5500979,1,Anthropologists and Archeologists,One
193092,1.3058953,-1.4333968,1,Geographers,One
193093,.15306206,-1.2655832,1,Historians,One
193094,.68435311,-2.0113733,1,Political Scientists,One
193099,1.7072641,-.25132728,1,"Social Scientists and Related Workers, All Other",One
194011,.32783595,-.67976588,1,Agricultural and Food Science Technicians,One
194021,.66123027,-.36584726,1,Biological Technicians,One
194031,.51929158,-.50238842,1,Chemical Technicians,One
194041,.58429426,.35154599,1,Geological and Petroleum Technicians,One
194051,.57566339,-.66373587,1,Nuclear Technicians,One
194061,.68324423,-.89692289,1,Social Science Research Assistants,One
194091,.77008027,.45884413,1,"Environmental Science and Protection Technicians, Including Health",One
194092,.39261875,-.072280645,1,Forensic Science Technicians,One
194093,.1902791,.29007769,3,Forest and Conservation Technicians,Three
194099,.94137514,.04926496,1,"Life, Physical, and Social Science Technicians, All Other",One
211011,.017816035,-.84189731,1,Substance Abuse and Behavioral Disorder Counselors,One
211012,.26338685,-1.1449817,1,"Educational, Guidance, School, and Vocational Counselors",One
211013,.099200837,-.96261811,1,Marriage and Family Therapists,One
211014,.34209722,-1.0326046,1,Mental Health Counselors,One
211015,-.17958225,-.38422549,1,Rehabilitation Counselors,One
211021,.12188308,-.8879208,1,"Child, Family, and School Social Workers",One
211022,.10700065,-.79638755,1,Healthcare Social Workers,One
211023,.30794722,-1.2702221,1,Mental Health and Substance Abuse Social Workers,One
211091,.0047580916,-.79687083,1,Health Educators ,One
211092,-.0069655725,-1.1035651,1,Probation Officers and Correctional Treatment Specialists,One
211093,-.12290502,-.97763425,1,Social and Human Service Assistants,One
211094,.50292724,-1.3705405,1,Community Health Workers,One
212011,-.14817852,-.60516196,1,Clergy,One
212021,.26800659,-.92012727,1,"Directors, Religious Activities and Education",One
231011,.71560192,-1.3677328,1,Lawyers,One
231012,.17295749,-1.5323013,1,Judicial Law Clerks,One
231021,.69822925,-1.8648587,1,"Administrative Law Judges, Adjudicators, and Hearing Officers",One
231022,-.22074071,-1.1729,1,"Arbitrators, Mediators, and Conciliators",One
